taxon_id,scientific_name,common_name,kingdom,phylum,class,order,family,genus,taxon_group,threatened_species_body,conservation_status,listed_names,conservation_status_cleaned
83139,Euastacus claytoni,Clayton's Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",vic_ffg_act_advisory_lists,Endangered,Euastacus claytoni,Endangered
83139,Euastacus claytoni,Clayton's Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Endangered,NA,Endangered
83140,Euastacus crassus,Alpine Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",vic_ffg_act_advisory_lists,Endangered,Euastacus crassus,Endangered
83140,Euastacus crassus,Alpine Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Endangered,NA,Endangered
83141,Euastacus dalagarbe,Mud Gully Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",qld_nc_act,Critically Endangered,Euastacus dalagarbe,Critically Endangered
83141,Euastacus dalagarbe,Mud Gully Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Critically Endangered,NA,Critically Endangered
83143,Euastacus dharawalus,Fitzroy Falls Spiny Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",nsw_tsc_act_and_fm_act,Critically endangered,Euastacus dharawalus,Critically Endangered
83143,Euastacus dharawalus,Fitzroy Falls Spiny Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Critically Endangered,NA,Critically Endangered
66782,Euastacus diversus,Orbost Spiny Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",vic_ffg_act_advisory_lists,Endangered,Euastacus diversus,Endangered
66782,Euastacus diversus,Orbost Spiny Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Endangered,NA,Endangered
